# Manually converted from free_period.txt captured by Tek scope
# s?\([\-0-9\.]\+\)\s\([\-0-9\.]\+\)?\1,\2?g
8.974,-2.152
8.976,-2.152
8.978,-2.152
8.98,-2.152
8.982,-2.152
8.984,-2.152
8.986,-2.152
8.988,-2.152
8.99,-2.152
8.992,-2.152
8.994,-2.152
8.996,-2.152
8.998,-2.152
9,-2.152
9.002,-2.152
9.004,-2.152
9.006,-2.16
9.008,-2.152
9.01,-2.16
9.012,-2.16
9.014,-2.152
9.016,-2.16
9.018,-2.16
9.02,-2.16
9.022,-2.16
9.024,-2.16
9.026,-2.16
9.028,-2.16
9.03,-2.16
9.032,-2.168
9.034,-2.16
9.036,-2.16
9.038,-2.16
9.04,-2.16
9.042,-2.16
9.044,-2.16
9.046,-2.168
9.048,-2.168
9.05,-2.168
9.052,-2.16
9.054,-2.16
9.056,-2.168
9.058,-2.168
9.06,-2.168
9.062,-2.168
9.064,-2.168
9.066,-2.168
9.068,-2.168
9.07,-2.168
9.072,-2.168
9.074,-2.168
9.076,-2.168
9.078,-2.176
9.08,-2.168
9.082,-2.176
9.084,-2.176
9.086,-2.176
9.088,-2.176
9.09,-2.176
9.092,-2.176
9.094,-2.176
9.096,-2.176
9.098,-2.176
9.1,-2.176
9.102,-2.176
9.104,-2.176
9.106,-2.176
9.108,-2.176
9.11,-2.184
9.112,-2.184
9.114,-2.184
9.116,-2.192
9.118,-2.192
9.12,-2.192
9.122,-2.184
9.124,-2.192
9.126,-2.192
9.128,-2.192
9.13,-2.192
9.132,-2.192
9.134,-2.192
9.136,-2.192
9.138,-2.192
9.14,-2.192
9.142,-2.2
9.144,-2.2
9.146,-2.192
9.148,-2.2
9.15,-2.2
9.152,-2.2
9.154,-2.2
9.156,-2.208
9.158,-2.2
9.16,-2.2
9.162,-2.2
9.164,-2.2
9.166,-2.2
9.168,-2.208
9.17,-2.208
9.172,-2.208
9.174,-2.2
9.176,-2.208
9.178,-2.2
9.18,-2.208
9.182,-2.208
9.184,-2.216
9.186,-2.216
9.188,-2.216
9.19,-2.216
9.192,-2.216
9.194,-2.216
9.196,-2.216
9.198,-2.216
9.2,-2.224
9.202,-2.224
9.204,-2.224
9.206,-2.224
9.208,-2.224
9.21,-2.224
9.212,-2.224
9.214,-2.224
9.216,-2.224
9.218,-2.224
9.22,-2.224
9.222,-2.224
9.224,-2.232
9.226,-2.224
9.228,-2.224
9.23,-2.232
9.232,-2.232
9.234,-2.232
9.236,-2.232
9.238,-2.232
9.24,-2.232
9.242,-2.232
9.244,-2.232
9.246,-2.232
9.248,-2.232
9.25,-2.232
9.252,-2.232
9.254,-2.24
9.256,-2.232
9.258,-2.24
9.26,-2.24
9.262,-2.24
9.264,-2.24
9.266,-2.24
9.268,-2.24
9.27,-2.248
9.272,-2.24
9.274,-2.248
9.276,-2.24
9.278,-2.248
